country,lat,lon,count
Afghanistan,34.626258805613304,67.76759072037422,729
Burkina Faso,12.387303488573295,-1.8151851358145608,5086
Central African Republic,6.179615714285714,17.82513564888124,1087
Chad,11.819096499054819,16.681906640831755,402
Ethiopia,10.636550407945323,38.44060851559163,1118
Lebanon,33.87565410483871,35.63905498064516,546
Mali,13.337169791583891,-6.428312379176449,10368
Mozambique,-21.110220295652173,34.58429505296443,1027
Myanmar,19.260992765410002,96.15058434724243,5458
Nigeria,7.896957352304797,6.403593795155221,2682
Palestine,31.906758201023735,35.10330306235458,2078
Somalia,6.441455594936709,45.52280598734177,206
South Sudan,5.861289800675675,30.7845100625,522
Sudan,14.718785047990256,31.955896844092567,816
Syria,35.33933638633666,37.76995753432785,2524
Yemen,14.78994557912234,45.270100287234044,1058
