Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,February,2018,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,February,2018,1,1,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,February,2018,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,February,2018,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,February,2018,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,February,2018,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,February,2018,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,February,2018,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,February,2018,0,0,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,February,2018,1,0,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,February,2018,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,February,2018,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,February,2018,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,February,2018,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,February,2018,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,February,2018,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,February,2018,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,February,2018,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,February,2018,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,February,2018,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,February,2018,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,February,2018,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,February,2018,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,February,2018,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,February,2018,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,March,2018,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,March,2018,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,March,2018,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,March,2018,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,March,2018,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,March,2018,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,March,2018,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,March,2018,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,March,2018,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,March,2018,0,0,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,March,2018,0,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,March,2018,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,March,2018,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,March,2018,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,March,2018,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,March,2018,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,March,2018,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,March,2018,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,March,2018,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,March,2018,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,March,2018,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,March,2018,1,1,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,March,2018,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,March,2018,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,March,2018,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,March,2018,1,1,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,March,2018,1,1,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,March,2018,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,March,2018,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,March,2018,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,March,2018,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,March,2018,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,March,2018,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,March,2018,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,March,2018,1,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,March,2018,1,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,March,2018,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,March,2018,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,March,2018,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,March,2018,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,March,2018,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,March,2018,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,April,2018,1,1,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,April,2018,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,April,2018,1,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,April,2018,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,April,2018,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,April,2018,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,April,2018,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,April,2018,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,April,2018,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,April,2018,0,0,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,April,2018,1,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,April,2018,1,1,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,April,2018,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,April,2018,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,April,2018,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,April,2018,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,April,2018,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,April,2018,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,April,2018,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,April,2018,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,April,2018,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,April,2018,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,April,2018,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,April,2018,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,April,2018,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,April,2018,0,0,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,April,2018,3,3,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,April,2018,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,April,2018,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,April,2018,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,April,2018,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,April,2018,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,April,2018,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,April,2018,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,April,2018,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,April,2018,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,April,2018,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,April,2018,1,1,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,April,2018,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,April,2018,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,April,2018,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,April,2018,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,May,2018,1,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,May,2018,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,May,2018,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,May,2018,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,May,2018,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,May,2018,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,May,2018,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,May,2018,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,May,2018,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,May,2018,0,0,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,May,2018,0,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,May,2018,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,May,2018,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,May,2018,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,May,2018,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,May,2018,1,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,May,2018,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,May,2018,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,May,2018,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,May,2018,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,May,2018,2,1,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,May,2018,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,May,2018,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,May,2018,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,May,2018,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,May,2018,1,4,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,May,2018,4,6,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,May,2018,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,May,2018,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,May,2018,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,May,2018,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,May,2018,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,May,2018,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,May,2018,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,May,2018,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,May,2018,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,May,2018,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,May,2018,1,1,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,May,2018,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,May,2018,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,May,2018,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,May,2018,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,June,2018,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,June,2018,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,June,2018,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,June,2018,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,June,2018,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,June,2018,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,June,2018,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,June,2018,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,June,2018,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,June,2018,0,0,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,June,2018,0,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,June,2018,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,June,2018,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,June,2018,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,June,2018,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,June,2018,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,June,2018,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,June,2018,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,June,2018,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,June,2018,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,June,2018,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,June,2018,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,June,2018,1,1,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,June,2018,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,June,2018,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,June,2018,0,0,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,June,2018,3,2,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,June,2018,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,June,2018,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,June,2018,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,June,2018,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,June,2018,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,June,2018,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,June,2018,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,June,2018,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,June,2018,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,June,2018,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,June,2018,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,June,2018,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,June,2018,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,June,2018,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,June,2018,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,July,2018,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,July,2018,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,July,2018,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,July,2018,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,July,2018,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,July,2018,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,July,2018,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,July,2018,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,July,2018,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,July,2018,0,0,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,July,2018,1,0,18.4122999,-72.754125
