Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2016,3,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,April,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,April,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,May,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,May,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,May,2016,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,May,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,May,2016,0,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,May,2016,1,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,May,2016,1,1,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,May,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,May,2016,5,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,May,2016,5,6,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,May,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,May,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,May,2016,7,1,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,May,2016,2,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,May,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,May,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,June,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,June,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,June,2016,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,June,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,June,2016,3,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,June,2016,4,1,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,June,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,June,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,June,2016,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,June,2016,2,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,June,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,June,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,June,2016,6,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,June,2016,6,3,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,June,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,June,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,July,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,July,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,July,2016,2,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,July,2016,1,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,July,2016,2,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,July,2016,3,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,July,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,July,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,July,2016,4,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,July,2016,3,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,July,2016,1,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,July,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,July,2016,1,1,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,July,2016,4,3,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,July,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,July,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,August,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,August,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,August,2016,2,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,August,2016,1,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,August,2016,1,1,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,August,2016,2,1,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,August,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,August,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,August,2016,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,August,2016,2,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,August,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,August,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,August,2016,1,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,August,2016,3,1,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,August,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,August,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,September,2016,2,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,September,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,September,2016,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,September,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,September,2016,3,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,September,2016,0,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,September,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,September,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,September,2016,2,1,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,September,2016,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,September,2016,1,1,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,September,2016,2,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,September,2016,5,2,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,September,2016,5,2,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,September,2016,1,1,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,September,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,October,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,October,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,October,2016,1,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,October,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,October,2016,3,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,October,2016,0,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,October,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,October,2016,2,2,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,October,2016,2,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,October,2016,4,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,October,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,October,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,October,2016,2,3,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,October,2016,4,2,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,October,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,October,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,November,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,November,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,November,2016,3,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,November,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,November,2016,0,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,November,2016,3,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,November,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,November,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,November,2016,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,November,2016,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,November,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,November,2016,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,November,2016,2,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,November,2016,1,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,November,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,November,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,December,2016,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,December,2016,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,December,2016,2,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,December,2016,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,December,2016,2,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,December,2016,3,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,December,2016,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,December,2016,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,December,2016,2,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,December,2016,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,December,2016,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,December,2016,1,1,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,December,2016,1,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,December,2016,0,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,December,2016,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,December,2016,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2017,1,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2017,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2017,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2017,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2017,3,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,January,2017,3,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2017,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,January,2017,1,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2017,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,January,2017,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,January,2017,1,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,January,2017,6,1,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,January,2017,1,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2017,2,1,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2017,2,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2017,1,1,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2017,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2017,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2017,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,February,2017,1,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2017,3,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,February,2017,2,1,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2017,1,2,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,February,2017,1,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2017,3,1,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,February,2017,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,February,2017,2,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,February,2017,1,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,February,2017,4,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,February,2017,3,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,February,2017,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,February,2017,1,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,March,2017,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,March,2017,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,March,2017,2,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,March,2017,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,March,2017,4,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,March,2017,2,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,March,2017,1,1,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,March,2017,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,March,2017,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,March,2017,2,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,March,2017,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,March,2017,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,March,2017,4,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,March,2017,1,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,March,2017,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,March,2017,1,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,April,2017,2,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,April,2017,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,April,2017,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,April,2017,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,April,2017,4,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,April,2017,1,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,April,2017,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,April,2017,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,April,2017,2,1,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,April,2017,0,0,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,April,2017,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,April,2017,0,0,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,April,2017,2,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2017,4,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,April,2017,0,0,32.3091259,35.026538
Palestine,West Bank,Tubas,PSE,PS0105,PS01,April,2017,0,0,32.3210552,35.3689104
Palestine,West Bank,Jenin,PSE,PS0101,PS01,May,2017,0,0,32.4618837,35.297566
Palestine,West Bank,Jericho,PSE,PS0135,PS01,May,2017,0,0,31.855991,35.4598851
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,May,2017,0,0,32.1881333,34.9679208
Palestine,West Bank,Salfit,PSE,PS0125,PS01,May,2017,0,0,32.0851611,35.1815442
Palestine,West Bank,Nablus,PSE,PS0115,PS01,May,2017,2,0,32.2280665,35.2370416
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,May,2017,2,0,31.8846739,35.205491
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,May,2017,0,0,31.3031311,34.2384638
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,May,2017,0,0,31.3443293,34.3095897
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,May,2017,1,0,31.7043556,35.2061876
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,May,2017,1,1,31.5065869,34.4615517
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,May,2017,0,0,31.4559381,34.4002727
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,May,2017,3,1,31.5220547,34.451318
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,May,2017,3,0,31.8919289,35.2000596
Palestine,West Bank,Hebron,PSE,PS0150,PS01,May,2017,4,0,31.5336282,35.0979762
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,May,2017,0,0,32.3091259,35.026538
